textID,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km�),Density (P/Km�)
f87dea47db,Last session of the day  http://twitpic.com/67ezh,neutral,morning,0-20,Afghanistan,38928346,652860,60
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,noon,21-30,Albania,2877797,27400,105
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,night,31-45,Algeria,43851044,2381740,18
01082688c6, happy bday!,positive,morning,46-60,Andorra,77265,470,164
33987a8ee5, http://twitpic.com/4w75p - I like it!!,positive,noon,60-70,Angola,32866272,1246700,26
726e501993, that`s great!! weee!! visitors!,positive,night,70-100,Antigua and Barbuda,97929,440,223
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,morning,0-20,Argentina,45195774,2736690,17
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",negative,noon,21-30,Armenia,2963243,28470,104
e64208b4ef, and within a short time of the last clue all of them,neutral,night,31-45,Australia,25499884,7682300,3
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,morning,46-60,Austria,9006398,8.24E+04,109
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,noon,60-70,Azerbaijan,10139177,82658,123
43b390b336, I checked.  We didn`t win,neutral,night,70-100,Bahamas,393244,10010,39
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,neutral,morning,0-20,Bahrain,1701575,760,2239
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,noon,21-30,Bangladesh,164689383,130170,1265
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,night,31-45,Barbados,287375,430,668
ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,morning,46-60,Belarus,9449323,202910,47
9fce30159a, Miss you,negative,noon,60-70,Belgium,11589623,30280,383
00d5195223,Cramps . . .,negative,night,70-100,Belize,397628,22810,17
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,morning,0-20,Benin,12123200,112760,108
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,noon,21-30,Bhutan,771608,3.81E+04,20
9ef44428d0,Stupid storm. No river for us tonight,negative,night,31-45,Bolivia,11673021,1083300,11
be634ebeb0,My dead grandpa pays more attention to me than you do,negative,morning,46-60,Bosnia and Herzegovina,3280819,51000,64
3dcf4f7e13,"... need retail therapy, bad. AHHH.....gimme money geebus",negative,noon,60-70,Botswana,2351627,566730,4
f0ef04109b,about to go to sleep,neutral,night,70-100,Brazil,212559417,8358140,25
8be365118e, you are lame  go make me breakfast!!,negative,morning,0-20,Brunei,437479,5270,83
c50bdd4567, thats so cool,positive,noon,21-30,Bulgaria,6948445,108560,64
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,night,31-45,Burkina Faso,20903273,273600,76
b783916431,"Huh, another ScarePoint coding Sunday",neutral,morning,46-60,Burundi,11890784,25680,463
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,positive,noon,60-70,C�te d'Ivoire,26378274,318000,83
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,night,70-100,Cabo Verde,555987,4.03E+03,138
95701e8ed9, guess that depends on if you want to be on the jury,neutral,morning,0-20,Cambodia,16718965,176520,95
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,neutral,noon,21-30,Cameroon,26545863,472710,56
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,night,31-45,Canada,37742154,9093510,4
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,neutral,morning,46-60,Central African Republic,4829767,622980,8
9b1a52cc02, where`d you go!,neutral,noon,60-70,Chad,16425864,1259200,13
cce5c4744a,Watching Body of Lies...good film,positive,night,70-100,Chile,19116201,743532,26
c7f9d559e2,Happy mothers day mumm  xoxo,positive,morning,0-20,China,1439323776,9388211,153
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,noon,21-30,Colombia,50882891,1109500,46
6d846d7d50, I`m sorry  at least it`s Friday?,negative,night,31-45,Comoros,869601,1861,467
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",negative,morning,46-60,Congo (Congo-Brazzaville),5518087,3.42E+05,16
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,noon,60-70,Costa Rica,5094118,51060,100
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,neutral,night,70-100,Croatia,4105267,55960,73
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,morning,0-20,Cuba,11326616,106440,106
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,noon,21-30,Cyprus,1207359,9240,131
d3d7b13278," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive,night,31-45,Czechia (Czech Republic),10708981,77240,139
ddc07db84e,  Hope ur havin fun in da club,positive,morning,46-60,Democratic Republic of the Congo,89561403,2267050,40
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,noon,60-70,Denmark,5792202,42430,137
17d18ba9ef,thinks SG is wonderful,positive,night,70-100,Djibouti,988000,23180,43
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative,morning,0-20,Dominica,71986,750,96
f0acd25d8e,Not happy,negative,noon,21-30,Dominican Republic,10847910,4.83E+04,225
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,night,31-45,Ecuador,17643054,248360,71
d6c34fa875, I`ll oscillate from one to the other.,neutral,morning,46-60,Egypt,102334404,995450,103
614aed9113,I`m so very tired...and have insomnia.,negative,noon,60-70,El Salvador,6486205,20720,313
dfa577d3c1, Thanks Ennio,positive,night,70-100,Equatorial Guinea,1402985,28050,50
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral,morning,0-20,Eritrea,3546421,101000,35
a0bfb12773," You seem nice, you`re generous and you know your stuff",positive,noon,21-30,Estonia,1326535,42390,31
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral,morning,46-60,Ethiopia,114963588,1000000,115
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,noon,60-70,Fiji,896445,18270,49
